PersonRegistrationAddressRegion,CreditHistoryLast2MonthCreditsCount,CreditHistoryActiveCreditsOverdueCount,CreditHistoryTotalPastDueAmount,CreditHistoryActiveCreditsOneMonthOverdueCount,CreditHistoryActiveCreditsTwoMonthsOverdueCount,CreditHistoryActiveCreditsMoreThreeMonthsOverdueCount,FsspActiveCreditDebtAmount,FsspActiveDebtAmount,loan_approve
73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,0.0,5.0,199289.0,1.0,0.0,4.0,0.0,138545.87,0.0
23.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,17.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0
50.0,3.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,3.0,1.0,15327.0,1.0,0.0,0.0,0.0,0.0,0.0
63.0,1.0,3.0,129731.0,0.0,0.0,3.0,89902.07,0.0,0.0
52.0,0.0,9.0,107722.0,3.0,2.0,4.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,2.0,3.0,500.0,1.0,2.0,0.0,0.0,5000.0,0.0
70.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
67.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,4.0,80829.0,0.0,0.0,4.0,0.0,43730.79,0.0
34.0,5.0,3.0,21052.0,3.0,0.0,0.0,0.0,15857.36,0.0
66.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12047.26,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.0,6.0,0.0,4.0,1.0,1.0,0.0,274256.31,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183749.52,0.0
51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,28001.14,28788.79,0.0
45.0,14.0,6.0,110200.92,5.0,0.0,1.0,0.0,0.0,1.0
72.0,0.0,1.0,3676.0,0.0,0.0,1.0,0.0,0.0,0.0
25.0,0.0,0.0,17485.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,6.0,2.0,13564.0,1.0,1.0,0.0,0.0,0.0,0.0
13.0,0.0,4.0,31245.51,0.0,0.0,4.0,0.0,0.0,0.0
61.0,0.0,10.0,162763.0,2.0,0.0,8.0,0.0,0.0,0.0
34.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,20553.14,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,27.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
53.0,22.0,0.0,16288.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,4.0,31008.0,2.0,1.0,1.0,0.0,0.0,0.0
24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1600.0,0.0
77.0,0.0,3.0,96918.0,2.0,0.0,1.0,0.0,0.0,0.0
